company,metric,slope,intercept,slope_interpretation,r_squared
AAPL,total_revenue,2452435162.6016264,-4156221318.879883,increasing,0.3367665943915056
AAPL,net_profit,636847809.3947608,-3111825956.0373497,increasing,0.36424570980876436
AAPL,operating_expenses,1704738640.4697382,-1742150557.0611343,increasing,0.33060156634790505
AAPL,profit_margin,0.13513307357635837,16.37668857450671,increasing,0.4812865355748218
AMZN,total_revenue,3904320347.7868114,-59788307738.632935,increasing,0.3984465589152657
AMZN,net_profit,276412037.03703713,-5908037037.037041,increasing,0.277677107624819
AMZN,operating_expenses,3590430894.3089437,-53302914784.70343,increasing,0.39783533678332417
AMZN,profit_margin,0.06491313972456238,0.5817380108537891,increasing,0.22648231928441542
GOOGL,total_revenue,2081846699.5483289,-26736602611.562782,increasing,0.38754508930681986
GOOGL,net_profit,574056458.5140018,-8623532550.436617,increasing,0.3686208795615804
GOOGL,operating_expenses,1478146285.2755198,-18347362188.798576,increasing,0.39096432351502985
GOOGL,profit_margin,0.01588572832032474,23.6756800823555,increasing,0.005872388793105809
